keyword_primary,intent_cluster,your_primary_url,your_secondary_url,c1_domain,c1_page_type,c2_domain,c2_page_type,c3_domain,c3_page_type,c4_domain,c4_page_type,c5_domain,c5_page_type,gap_strategy_note,geo_scope,data_as_of
museum planning,commercial,https://museumplanning.com/museum-planning-services.html,,choraconsulting.com,homepage,mgmp.us,services,carolynneharris.com,homepage,museuminsights.com,homepage,gailanderson-assoc.com,services,"Peer set is planning-led firms: strengthen proof density (# museums $ methodology phases) and institutional logos vs homepage-only competitors.",US-default,2026-05
museum consultant,commercial,https://museumplanning.com/museum-planning-services.html,,choraconsulting.com,homepage,mgmp.us,services,gailanderson-assoc.com,services,renazurofsky.com,homepage,museumplanning.com,services WP legacy,"Win on practitioner narrative books Fulbright press + named methodology; ensure post-migration URL parity with legacy WP service URLs.",US-default,2026-05
museum feasibility study,informational + commercial,https://museumplanning.com/museum-school/what-is-a-museum-feasibility-study.html,https://museumplanning.com/museum-planning-services.html,mgmp.us,feasibility landing,museumplanning.com,WP feasibility hub,gailanderson-assoc.com,strategic + feasibility,choraconsulting.com,homepage,alixslater.co.uk,consultant article,"Dual hub OK: School owns vocabulary Services owns hire intent; add compare-table vs MGMP scope signals avoid thin overlap.",US-default + UK row optional,2026-05
museum master planning,informational + commercial,https://museumplanning.com/museum-school/what-is-a-museum-master-plan.html,https://museumplanning.com/museum-planning-services.html,museuminsights.com,niche master-plan hub,museumplanning.com,services WP,carolynneharris.com,services,mgmp.us,services,choraconsulting.com,homepage,"Museum Insights owns narrow niche—counter with full-cycle narrative feasibility-through-opening + project galleries tied to master plans.",US-default,2026-05
museum strategic planning,commercial,https://museumplanning.com/museum-planning-services.html,,gailanderson-assoc.com,strategic planning hub,renazurofsky.com,homepage,choraconsulting.com,homepage,museumplanning.com,WP consulting hub,carolynneharris.com,services,"Compete on governance + campaign adjacency if true to engagements; case-led pages beat generic service blurbs.",US-default,2026-05
museum exhibition design,commercial,https://museumplanning.com/museum-planning-services.html,,raai.com,portfolio homepage,roto.com,services,tessellatestudio.com,homepage,bridgewaterstudio.net,exhibition pillar,museumplanning.com,WP services,"Compete as planner orchestrator not mega fabricator unless bidding same RFPs; tighten wording vs RAAMI-scale portfolios.",US-default,2026-05
interactive museum exhibits,commercial + informational,https://museumplanning.com/museum-planning-projects.html,,stimulant.com,agency homepage,neopangea.com,exhibit pillar,tessellatestudio.com,homepage,exhibitry.com,services,atomiccarrots.com,studio homepage,"Decide positioning: chase interactive vendor SERPs vs own planning-scoped queries interactive exhibit planning museum experience strategy.",US-default,2026-05
starting a museum,informational,https://museumplanning.com/museum-school/how-to-start-a-museum.html,,aam-us.org,toolkit resource,museumplanning.com,WP guide,museumnext.com,editorial article,tepapa.govt.nz,government guide,museumsgalleriesscotland.org.uk,regional advice,"Cannot out-authority AAM on neutral civic intent—win practitioner steps costs mistakes US nonprofit mechanics deep internal links to feasibility Services.",US-default,2026-05
Mark Walhimer,brand / navigational,https://museumplanning.com/museum-planning-about.html,,markwalhimer.com,personal site,museumplanning.com,homepage WP,museumplanning.com,about WP,amazon.com,author books,bloomsbury.com,publisher imprint,"Consolidate entity signals Organization JSON-LD Person schema cross-links markwalhimer.com publications post-cutover.",global-brand,2026-05
interpretive planning museum,commercial extended,https://museumplanning.com/museum-planning-services.html,,mgmp.us,services,tessellatestudio.com,homepage,raai.com,portfolio home,bridgewaterstudio.net,exhibition pillar,choraconsulting.com,homepage,"Add language only where interpretive scope is real deliverable avoid thin duplicate of Exhibition Design card.",US-default,2026-05
museum capital campaign planning,commercial extended,https://museumplanning.com/museum-planning-services.html,,mgmp.us,services,carolynneharris.com,services,gailanderson-assoc.com,services,museuminsights.com,services,museumplanning.com,WP phases hub,"Pair campaign claims with dated project outcomes master plan + feasibility tie-ins.",US-default,2026-05
"children's museum consultant",commercial vertical,https://museumplanning.com/museum-planning-projects.html,https://museumplanning.com/museum-planning-services.html,mgmp.us,services,childrensmuseums.org,association resources,museumplanning.com,WP portfolio,gailanderson-assoc.com,services,choraconsulting.com,homepage,"Inventory childrens tagged projects intro paragraph on Projects hub optional Services subsection.",US-default,2026-05
"museum experiential exhibit design cohort Gallagher Local Projects Ideum Quatrefoil",commercial + experiential overlap,https://museumplanning.com/museum-planning-services.html,https://museumplanning.com/museum-planning-projects.html,gallagherdesign.com,homepage portfolio,localprojects.com,museum exhibit services,ideum.com,museum exhibit pillar,quatrefoil.com,planning + exhibits hub,raai.com,portfolio comparator SERP,"User-named SERP leaders omitted prior scrape dominated RAAMI Stimulant class revise quarterly Local Projects spans discovery/strategy close overlap planner-led pitches.",US-default,2026-05
